hh_id               itime                                     day      Interviewer ID
10073         10, 10, 350                   89(18), 169(34), 9(2)             1, 1, 3
10074         10, 10, 550                  91(19), 171(35), 11(3)            1, 1, 20
10075         10, 10, 150                   88(18), 168(34), 8(2)             1, 1, 2
10076         10, 10, 175                   87(18), 167(34), 7(2)             1, 1, 2
10077         10, 10, 150                   86(18), 166(34), 6(2)             1, 1, 2
10078         10, 10, 325                  90(18), 170(34), 10(2)             1, 1, 2
10079         10, 10, 250                   89(18), 169(34), 9(2)             1, 1, 2
10080         10, 10, 200                   88(18), 168(34), 8(2)             1, 1, 2
10081         10, 10, 250                   87(18), 167(34), 7(2)             1, 1, 2
10082          25, 10, 10                   6(2), 86(18), 166(34)             1, 1, 1
10083         175, 10, 10                  10(2), 90(18), 170(34)             1, 1, 1
10084         150, 10, 10                   9(2), 89(18), 169(34)             1, 1, 1
10085         250, 10, 10                   8(2), 88(18), 168(34)             1, 1, 1
10086         250, 10, 10                   7(2), 87(18), 167(34)             1, 1, 1
10087         275, 10, 10                   6(2), 86(18), 166(34)             1, 1, 1
10088         200, 10, 10                  10(2), 90(18), 170(34)             1, 1, 1
10089          25, 10, 10                   9(2), 89(18), 169(34)             1, 1, 1
10090         125, 10, 10                   8(2), 88(18), 168(34)             1, 1, 1
10091         100, 10, 10                   7(2), 87(18), 167(34)             1, 1, 1
10092         10, 10, 475                   86(18), 166(34), 6(2)            1, 1, 20
10093         10, 10, 175                   84(17), 164(33), 4(1)             1, 1, 2
10094         10, 10, 350                   83(17), 163(33), 3(1)             1, 1, 3
10095          75, 10, 10                   2(1), 82(17), 162(33)             1, 1, 1
10096         175, 10, 10                48(10), 128(26), 208(42)             1, 1, 1
10097         225, 10, 10                47(10), 127(26), 207(42)             1, 1, 1
10098         275, 10, 10                46(10), 126(26), 206(42)             1, 1, 1
10099         225, 10, 10                 43(9), 123(25), 203(41)             1, 1, 1
10100         10, 10, 200                 122(25), 202(41), 42(9)             1, 1, 2
10101         10, 10, 225                 121(25), 201(41), 41(9)             1, 1, 2
10102         10, 10, 225                 125(25), 205(41), 45(9)             1, 1, 2
10103         10, 10, 250                 124(25), 204(41), 44(9)             1, 1, 2
10104         150, 10, 10                 43(9), 123(25), 203(41)             1, 1, 1
10105         125, 10, 10                 42(9), 122(25), 202(41)             1, 1, 1
10106         325, 10, 10                 41(9), 121(25), 201(41)             1, 1, 1
10107         10, 10, 275                 125(25), 45(9), 205(41)             1, 2, 3
10108         150, 10, 10                 204(41), 44(9), 124(25)             2, 3, 3
10109         10, 10, 125                 123(25), 43(9), 203(41)             1, 2, 2
10110         10, 10, 150                 42(9), 122(25), 202(41)             2, 2, 2
10111         10, 10, 200                 121(25), 41(9), 201(41)             1, 2, 2
10112         10, 225, 10                 125(25), 205(41), 45(9)             1, 1, 2
