hh_id               itime                                     day
10162          10, 10, 75                 31(7), 111(23), 191(39)
10163          10, 10, 75                 35(7), 115(23), 195(39)
10164         10, 10, 150                 34(7), 114(23), 194(39)
10165         10, 10, 400                 33(7), 113(23), 193(39)
10166         10, 10, 100                 32(7), 112(23), 192(39)
10167          10, 10, 75                 31(7), 111(23), 191(39)
10168         10, 10, 150                 35(7), 115(23), 195(39)
10169          10, 10, 25                 34(7), 114(23), 194(39)
10170         10, 10, 100                 33(7), 113(23), 193(39)
10171         10, 10, 225                 32(7), 112(23), 192(39)
10172         10, 10, 175                 31(7), 111(23), 191(39)
10173          10, 10, 50                 35(7), 115(23), 195(39)
10174          10, 10, 25                 34(7), 114(23), 194(39)
10175         10, 10, 125                 33(7), 113(23), 193(39)
10176         10, 10, 125                 32(7), 112(23), 192(39)
10177         10, 10, 275                65(13), 145(29), 225(45)
10178         10, 10, 300                64(13), 144(29), 224(45)
10179         10, 10, 300                63(13), 143(29), 223(45)
10180         10, 10, 400                62(13), 142(29), 222(45)
10181         10, 10, 425                61(13), 141(29), 221(45)
10182         10, 10, 375                65(13), 145(29), 225(45)
10183         10, 10, 425                64(13), 144(29), 224(45)
10184         10, 10, 350                57(12), 137(28), 217(44)
10185         10, 10, 150                56(12), 136(28), 216(44)
10186         10, 10, 125                60(12), 140(28), 220(44)
10187          10, 10, 25                49(10), 129(26), 209(42)
10188         10, 10, 125                59(12), 139(28), 219(44)
10189         10, 10, 125                58(12), 138(28), 218(44)
10190         10, 10, 150                57(12), 137(28), 217(44)
10191         10, 10, 225                56(12), 136(28), 216(44)
10192         10, 10, 100                60(12), 140(28), 220(44)
10193          10, 10, 75                59(12), 139(28), 219(44)
10194          10, 10, 75                58(12), 138(28), 218(44)
10195         10, 10, 200                57(12), 137(28), 217(44)
10196         10, 10, 175                56(12), 136(28), 216(44)
10197         10, 10, 250                60(12), 140(28), 220(44)
10198          10, 10, 50                59(12), 139(28), 219(44)
10199         10, 10, 175                58(12), 138(28), 218(44)
10200         10, 10, 225                57(12), 137(28), 217(44)
10201         10, 10, 300                56(12), 136(28), 216(44)
10202         10, 10, 625                60(12), 140(28), 220(44)
10203         10, 10, 150                59(12), 139(28), 219(44)
10204         10, 10, 100                52(11), 132(27), 212(43)
10205          10, 10, 75                51(11), 131(27), 211(43)
10206         10, 10, 225                58(12), 138(28), 218(44)
10207         10, 10, 175                55(11), 135(27), 215(43)
10208          10, 10, 25                48(10), 128(26), 208(42)
10209         10, 10, 100                54(11), 134(27), 214(43)
10210         10, 10, 350                53(11), 133(27), 213(43)
10211         10, 10, 125                52(11), 132(27), 212(43)
10212         10, 10, 150                51(11), 131(27), 211(43)
10213         10, 10, 175                55(11), 135(27), 215(43)
10214          10, 10, 75                 44(9), 124(25), 204(41)
10215         10, 10, 150                54(11), 134(27), 214(43)
10216         10, 10, 175                79(16), 159(32), 239(48)
10217         10, 10, 325                78(16), 158(32), 238(48)
10218         10, 10, 400                77(16), 157(32), 237(48)
10219         10, 10, 375                76(16), 156(32), 236(48)
10220         10, 10, 375                80(16), 160(32), 240(48)
10221         10, 10, 275                79(16), 159(32), 239(48)
10222         10, 10, 100                78(16), 158(32), 238(48)
10223          10, 10, 75                77(16), 157(32), 237(48)
10224         10, 10, 100                76(16), 156(32), 236(48)
10225         10, 10, 400                80(16), 160(32), 240(48)
10226         10, 10, 200                79(16), 159(32), 239(48)
10227         10, 10, 275                78(16), 158(32), 238(48)
10228          10, 10, 25                74(15), 154(31), 234(47)
10229          10, 10, 50                73(15), 153(31), 233(47)
10230         10, 10, 350                77(16), 157(32), 237(48)
10231         10, 10, 200                76(16), 156(32), 236(48)
10232          10, 10, 75                72(15), 152(31), 232(47)
10233         10, 10, 200                80(16), 160(32), 240(48)
10234         10, 10, 250                79(16), 159(32), 239(48)
10235         10, 10, 250                78(16), 158(32), 238(48)
10236         10, 10, 150                71(15), 151(31), 231(47)
10237         10, 10, 150                75(15), 155(31), 235(47)
10238          10, 10, 25                74(15), 154(31), 234(47)
10239         10, 10, 225                73(15), 153(31), 233(47)
10240         10, 10, 200                72(15), 152(31), 232(47)
10241          10, 10, 25                71(15), 151(31), 231(47)
10242         10, 10, 250                75(15), 155(31), 235(47)
10243         10, 10, 225                74(15), 154(31), 234(47)
10244         10, 10, 250                73(15), 153(31), 233(47)
10245         10, 10, 225                72(15), 152(31), 232(47)
10246          10, 10, 75                71(15), 151(31), 231(47)
10247          10, 10, 50                67(14), 147(30), 227(46)
10248         10, 10, 175                75(15), 155(31), 235(47)
10249          10, 10, 25                63(13), 143(29), 223(45)
10250         10, 10, 250                74(15), 154(31), 234(47)
10251         10, 10, 175                73(15), 153(31), 233(47)
10252         10, 10, 100                72(15), 152(31), 232(47)
10253         10, 10, 350                71(15), 151(31), 231(47)
10254         10, 10, 150                75(15), 155(31), 235(47)
10255         10, 10, 125                74(15), 154(31), 234(47)
10256         10, 10, 100                73(15), 153(31), 233(47)
10257         10, 10, 200                72(15), 152(31), 232(47)
10258          10, 10, 75                71(15), 151(31), 231(47)
10259         10, 10, 100                75(15), 155(31), 235(47)
10260         10, 10, 175                74(15), 154(31), 234(47)
10261         10, 10, 125                73(15), 153(31), 233(47)
10262         10, 10, 100                66(14), 146(30), 226(46)
10263         10, 10, 150                70(14), 150(30), 230(46)
10264         10, 10, 500                   9(2), 89(18), 169(34)
10265         10, 10, 125                   2(1), 82(17), 162(33)
10266         10, 10, 125                   1(1), 81(17), 161(33)
10267         10, 10, 350                   5(1), 85(17), 165(33)
10268         10, 10, 225                   4(1), 84(17), 164(33)
10269         10, 10, 200                   3(1), 83(17), 163(33)
10270         10, 10, 650                   2(1), 82(17), 162(33)
10271         10, 10, 200                   1(1), 81(17), 161(33)
10272         10, 10, 275                   5(1), 85(17), 165(33)
10273         10, 10, 450                   4(1), 84(17), 164(33)
10274         10, 10, 600                   3(1), 83(17), 163(33)
10275          10, 10, 75                   2(1), 82(17), 162(33)
10276         10, 10, 175                   1(1), 81(17), 161(33)
10277         10, 10, 475                   5(1), 85(17), 165(33)
10278         10, 325, 10                77(16), 157(32), 237(48)
10279         10, 150, 10                76(16), 156(32), 236(48)
10280         10, 400, 10                80(16), 160(32), 240(48)
10281         10, 300, 10                79(16), 159(32), 239(48)
10282         10, 275, 10                78(16), 158(32), 238(48)
10283         10, 175, 10                77(16), 157(32), 237(48)
10284         10, 250, 10                76(16), 156(32), 236(48)
10285          10, 75, 10                80(16), 160(32), 240(48)
10286         10, 250, 10                79(16), 159(32), 239(48)
10287         10, 175, 10                78(16), 158(32), 238(48)
10288         10, 150, 10                77(16), 157(32), 237(48)
10289         10, 325, 10                76(16), 156(32), 236(48)
10290         10, 175, 10                80(16), 160(32), 240(48)
10291         375, 10, 10                 45(9), 125(25), 205(41)
10292         400, 10, 10                 44(9), 124(25), 204(41)
10293         550, 10, 10                 43(9), 123(25), 203(41)
10294         175, 10, 10                 42(9), 122(25), 202(41)
10295         775, 10, 10                 41(9), 121(25), 201(41)
10296         225, 10, 10                 39(8), 119(24), 199(40)
10297         125, 10, 10                 38(8), 118(24), 198(40)
10298         175, 10, 10                 37(8), 117(24), 197(40)
10299         175, 10, 10                 36(8), 116(24), 196(40)
10300         250, 10, 10                 40(8), 120(24), 200(40)
10301         250, 10, 10                 39(8), 119(24), 199(40)
10302         175, 10, 10                 38(8), 118(24), 198(40)
10303         275, 10, 10                 37(8), 117(24), 197(40)
10304         250, 10, 10                 36(8), 116(24), 196(40)
10305         400, 10, 10                 40(8), 120(24), 200(40)
10306         375, 10, 10                 39(8), 119(24), 199(40)
10307         325, 10, 10                 38(8), 118(24), 198(40)
10308         175, 10, 10                 35(7), 115(23), 195(39)
10309         675, 10, 10                 37(8), 117(24), 197(40)
10310         275, 10, 10                 36(8), 116(24), 196(40)
10311         375, 10, 10                 34(7), 114(23), 194(39)
10312         250, 10, 10                 33(7), 113(23), 193(39)
10313         450, 10, 10                 32(7), 112(23), 192(39)
10314         350, 10, 10                 31(7), 111(23), 191(39)
10315         225, 10, 10                 35(7), 115(23), 195(39)
10316         375, 10, 10                 34(7), 114(23), 194(39)
10317         125, 10, 10                 33(7), 113(23), 193(39)
10318         100, 10, 10                 32(7), 112(23), 192(39)
10319         225, 10, 10                 31(7), 111(23), 191(39)
10320         200, 10, 10                 35(7), 115(23), 195(39)
10321         200, 10, 10                 34(7), 114(23), 194(39)
10322         475, 10, 10                 33(7), 113(23), 193(39)
10323         225, 10, 10                 32(7), 112(23), 192(39)
10324         275, 10, 10                 31(7), 111(23), 191(39)
10325         225, 10, 10                 29(6), 109(22), 189(38)
10326         10, 325, 10                67(14), 147(30), 227(46)
10327         10, 125, 10                66(14), 146(30), 226(46)
10328         10, 150, 10                70(14), 150(30), 230(46)
10329         10, 700, 10                69(14), 149(30), 229(46)
10330         10, 175, 10                68(14), 148(30), 228(46)
10331         10, 100, 10                67(14), 147(30), 227(46)
10332         10, 175, 10                66(14), 146(30), 226(46)
10333         10, 300, 10                70(14), 150(30), 230(46)
10334         10, 175, 10                69(14), 149(30), 229(46)
10335         10, 125, 10                68(14), 148(30), 228(46)
10336         10, 525, 10                67(14), 147(30), 227(46)
10337         10, 175, 10                66(14), 146(30), 226(46)
10338         10, 250, 10                61(13), 141(29), 221(45)
10339         10, 300, 10                65(13), 145(29), 225(45)
10340         10, 850, 10                64(13), 144(29), 224(45)
10341         10, 150, 10                63(13), 143(29), 223(45)
10342         10, 150, 10                62(13), 142(29), 222(45)
10343         150, 10, 10                  15(3), 95(19), 175(35)
10344          75, 10, 10                  14(3), 94(19), 174(35)
10345         225, 10, 10                  13(3), 93(19), 173(35)
10346         10, 100, 10                75(15), 155(31), 235(47)
10347         10, 250, 10                74(15), 154(31), 234(47)
10348          10, 75, 10                73(15), 153(31), 233(47)
10349         10, 175, 10                72(15), 152(31), 232(47)
10350         10, 450, 10                71(15), 151(31), 231(47)
10351         10, 250, 10                75(15), 155(31), 235(47)
10352         10, 475, 10                74(15), 154(31), 234(47)
10353         10, 225, 10                73(15), 153(31), 233(47)
10354          10, 25, 10                63(13), 143(29), 223(45)
10355         10, 225, 10                72(15), 152(31), 232(47)
10356          10, 25, 10                62(13), 142(29), 222(45)
10357         10, 375, 10                71(15), 151(31), 231(47)
10358         10, 125, 10                70(14), 150(30), 230(46)
10359         10, 150, 10                69(14), 149(30), 229(46)
10360          10, 75, 10                68(14), 148(30), 228(46)
10361         10, 100, 10                67(14), 147(30), 227(46)
10362          10, 25, 10                57(12), 137(28), 217(44)
10363         10, 125, 10                66(14), 146(30), 226(46)
10364          10, 75, 10                70(14), 150(30), 230(46)
10365         10, 175, 10                69(14), 149(30), 229(46)
10366         10, 175, 10                68(14), 148(30), 228(46)
10367         10, 150, 10                55(11), 135(27), 215(43)
10368         10, 625, 10                54(11), 134(27), 214(43)
10369         10, 200, 10                53(11), 133(27), 213(43)
10370         10, 250, 10                52(11), 132(27), 212(43)
10371         10, 225, 10                51(11), 131(27), 211(43)
10372          10, 75, 10                55(11), 135(27), 215(43)
10373         150, 10, 10                 27(6), 107(22), 187(38)
10374         150, 10, 10                 22(5), 102(21), 182(37)
10375         275, 10, 10                 26(6), 106(22), 186(38)
10376         425, 10, 10                 21(5), 101(21), 181(37)
10377         225, 10, 10                 25(5), 105(21), 185(37)
10378         275, 10, 10                 24(5), 104(21), 184(37)
10379         150, 10, 10                 23(5), 103(21), 183(37)
10380         250, 10, 10                 22(5), 102(21), 182(37)
10381         175, 10, 10                 21(5), 101(21), 181(37)
