hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,
10270,20-069-B-0,1,26,120,780,,
10271,20-073-A-0,1,8,120,240,,
10272,20-077-A-0,1,11,120,330,,
10273,20-080-A-0,1,18,120,540,,
10274,20-084-A-0,1,24,120,720,,
10275,20-096-C-0,1,3,120,90,,
10276,20-097-A-0,1,7,120,210,,
10277,20-100-A-0,1,19,120,570,,
10278,20-111-A-0,1,13,120,390,,
10279,20-121-A-0,1,6,120,180,,
10280,20-122-B-0,1,16,120,480,,
10281,20-122-C-0,1,12,120,360,,
10282,20-128-A-0,1,11,120,330,,
10283,20-171-A-0,1,7,120,210,,
10284,20-190-A-0,1,10,120,300,,
10285,20-199-B-0,1,3,120,90,,
10286,20-217-A-0,1,10,120,300,,
10287,20-229-E-0,1,7,120,210,,
10288,20-230-A-0,1,6,120,180,,
10289,20-253-A-0,1,13,120,390,,
10290,20-265-A-0,1,7,120,210,,
10291,21-011-A-0,1,15,121,450,,
10292,21-016-A-0,1,16,121,480,,
10293,21-019-A-0,1,22,121,660,,
10294,21-026-A-0,1,7,121,210,,
10295,21-027-A-0,1,31,121,930,,
10296,21-034-A-0,1,9,121,270,,
10297,21-045-A-0,1,5,121,150,,
10298,21-047-C-0,1,7,121,210,,
10299,21-062-A-0,1,7,121,210,,
10300,21-072-B-0,1,10,121,300,,
10301,21-076-D-0,1,10,121,300,,
10302,21-080-A-0,1,7,121,210,,
10303,21-082-A-0,1,11,121,330,,
10304,21-085-A-0,1,10,121,300,,
10305,21-101-B-0,1,16,121,480,,
10306,21-104-A-0,1,15,121,450,,
10307,21-118-A-0,1,13,121,390,,
10308,21-122-B-0,1,7,121,210,,
10309,21-136-A-0,1,27,121,810,,
10310,21-140-A-0,1,11,121,330,,
10311,21-141-B-0,1,15,121,450,,
10312,21-145-B-0,1,10,121,300,,
10313,21-146-A-0,1,18,121,540,,
10314,21-162-B-0,1,14,121,420,,
10315,21-194-A-0,1,9,121,270,,
10316,21-195-A-0,1,15,121,450,,
10317,21-208-B-0,1,5,121,150,,
10318,21-215-A-0,1,4,121,120,,
10319,21-218-A-0,1,9,121,270,,
10320,21-224-A-0,1,8,121,240,,
10321,21-230-A-0,1,8,121,240,,
10322,21-231-A-0,1,19,121,570,,
10323,21-242-A-0,1,9,121,270,,
10324,21-247-A-0,1,11,121,330,,
10325,21-261-A-0,1,9,121,270,,
10326,22-001-A-0,1,13,122,390,,
10327,22-006-A-0,1,5,122,150,,
10328,22-015-A-0,1,6,122,180,,
10329,22-019-A-0,1,28,122,280,,
10330,22-023-B-0,1,7,122,70,,
10331,22-041-A-0,1,4,122,40,,
10332,22-041-B-0,1,7,122,70,,
10333,22-049-A-0,1,12,122,120,,
10334,22-062-A-0,1,7,122,70,,
10335,22-064-A-0,1,5,122,50,,
10336,22-075-A-0,1,21,122,210,,
10337,22-081-A-0,1,7,122,70,,
10338,22-082-A-0,1,10,122,100,,
10339,22-089-A-0,1,12,122,120,,
10340,22-091-A-0,1,34,122,340,,
10341,22-101-A-0,1,6,122,60,,
10342,22-110-A-0,1,6,122,60,,
10343,23-026-A-0,1,6,123,60,,
10344,23-027-A-0,1,3,123,30,,
10345,23-063-A-0,1,9,123,90,,
10346,24-015-A-0,1,4,124,40,,
10347,24-049-A-0,1,10,124,100,,
10348,24-053-A-0,1,3,124,30,,
10349,24-062-A-0,1,7,124,70,,
10350,24-065-A-0,1,18,124,180,,
10351,24-066-A-0,1,10,124,100,,
10352,24-078-A-0,1,19,124,190,,
10353,24-085-A-0,1,9,124,90,,
10354,24-088-A-0,1,1,124,10,,
10355,24-092-A-0,1,9,124,90,,
10356,24-100-A-0,1,1,124,10,,
10357,24-128-A-0,1,15,124,150,,
10358,24-167-A-0,1,5,124,50,,
10359,24-174-A-0,1,6,124,60,,
10360,24-180-A-0,1,3,124,30,,
10361,24-182-A-0,1,4,124,40,,
10362,24-183-A-0,1,1,124,10,,
10363,24-186-A-0,1,5,124,50,,
10364,24-201-A-0,1,3,124,30,,
10365,24-208-A-0,1,7,124,70,,
10366,24-212-A-0,1,7,124,70,,
10367,25-003-B-0,1,6,125,60,,
10368,25-004-A-0,1,25,125,250,,
10369,25-005-A-0,1,8,125,80,,
10370,25-020-A-0,1,10,125,100,,
10371,25-110-B-0,1,9,125,90,,
10372,25-122-A-0,1,3,125,30,,
10373,27-006-B-0,1,6,127,60,,
10374,27-009-A-0,1,6,127,60,,
10375,27-011-A-0,1,11,127,110,,
10376,27-012-B-0,1,17,127,170,,
10377,27-016-A-0,1,9,127,90,,
10378,27-023-A-0,1,11,127,110,,
10379,27-026-A-0,1,6,127,60,,
10380,27-030-A-0,1,10,127,100,,
10381,27-032-F-0,1,7,127,70,,
10382,27-035-D-0,1,3,127,30,,
10383,27-041-A-0,1,10,127,100,,
10384,27-050-A-0,1,15,127,150,,
10385,27-052-A-0,1,21,127,210,,
10386,27-059-B-0,1,6,127,60,,
10387,27-064-A-0,1,34,127,340,,
10388,27-087-B-0,1,13,127,130,,
10389,27-096-A-0,1,4,127,40,,
10390,27-105-A-0,1,8,127,80,,
10391,27-107-A-0,1,5,127,50,,
10392,27-110-A-0,1,7,127,70,,
10393,27-118-A-0,1,8,127,80,,
10394,27-127-A-0,1,7,127,70,,
10395,27-128-A-0,1,6,127,60,,
10396,29-017-B-0,1,7,129,70,,
10397,29-021-A-0,1,3,129,30,,
10398,29-029-B-0,1,5,129,50,,
10399,29-030-B-0,1,7,129,70,,
10400,29-037-A-0,1,9,129,90,,
10401,29-048-A-0,1,1,129,10,,
10402,29-052-A-0,1,14,129,140,,
10403,29-057-A-0,1,8,129,80,,
10404,29-063-A-0,1,3,129,30,,
10405,29-067-A-0,1,12,129,120,,
10406,29-071-A-0,1,6,129,60,,
