hh_id               itime                                     day
10259         10, 10, 100                              15, 31, 47
10260         10, 10, 175                              15, 31, 47
10261         10, 10, 125                              15, 31, 47
10262         10, 10, 100                              14, 30, 46
10263         10, 10, 150                              14, 30, 46
10264         10, 10, 500                               2, 18, 34
10265         10, 10, 125                               1, 17, 33
10266         10, 10, 125                               1, 17, 33
10267         10, 10, 350                               1, 17, 33
10268         10, 10, 225                               1, 17, 33
10269         10, 10, 200                               1, 17, 33
10270         10, 10, 650                               1, 17, 33
10271         10, 10, 200                               1, 17, 33
10272         10, 10, 275                               1, 17, 33
10273         10, 10, 450                               1, 17, 33
10274         10, 10, 600                               1, 17, 33
10275          10, 10, 75                               1, 17, 33
10276         10, 10, 175                               1, 17, 33
10277         10, 10, 475                               1, 17, 33
10278         10, 325, 10                              16, 32, 48
10279         10, 150, 10                              16, 32, 48
10280         10, 400, 10                              16, 32, 48
10281         10, 300, 10                              16, 32, 48
10282         10, 275, 10                              16, 32, 48
10283         10, 175, 10                              16, 32, 48
10284         10, 250, 10                              16, 32, 48
10285          10, 75, 10                              16, 32, 48
10286         10, 250, 10                              16, 32, 48
10287         10, 175, 10                              16, 32, 48
10288         10, 150, 10                              16, 32, 48
10289         10, 325, 10                              16, 32, 48
10290         10, 175, 10                              16, 32, 48
10291         375, 10, 10                               9, 25, 41
10292         400, 10, 10                               9, 25, 41
10293         550, 10, 10                               9, 25, 41
10294         175, 10, 10                               9, 25, 41
10295         775, 10, 10                               9, 25, 41
10296         225, 10, 10                               8, 24, 40
10297         125, 10, 10                               8, 24, 40
10298         175, 10, 10                               8, 24, 40
10299         175, 10, 10                               8, 24, 40
10300         250, 10, 10                               8, 24, 40
10301         250, 10, 10                               8, 24, 40
10302         175, 10, 10                               8, 24, 40
10303         275, 10, 10                               8, 24, 40
10304         250, 10, 10                               8, 24, 40
10305         400, 10, 10                               8, 24, 40
10306         375, 10, 10                               8, 24, 40
10307         325, 10, 10                               8, 24, 40
10308         175, 10, 10                               7, 23, 39
10309         675, 10, 10                               8, 24, 40
10310         275, 10, 10                               8, 24, 40
10311         375, 10, 10                               7, 23, 39
10312         250, 10, 10                               7, 23, 39
10313         450, 10, 10                               7, 23, 39
10314         350, 10, 10                               7, 23, 39
10315         225, 10, 10                               7, 23, 39
10316         375, 10, 10                               7, 23, 39
10317         125, 10, 10                               7, 23, 39
10318         100, 10, 10                               7, 23, 39
10319         225, 10, 10                               7, 23, 39
10320         200, 10, 10                               7, 23, 39
10321         200, 10, 10                               7, 23, 39
10322         475, 10, 10                               7, 23, 39
10323         225, 10, 10                               7, 23, 39
10324         275, 10, 10                               7, 23, 39
10325         225, 10, 10                               6, 22, 38
10326         10, 325, 10                              14, 30, 46
10327         10, 125, 10                              14, 30, 46
10328         10, 150, 10                              14, 30, 46
10329         10, 700, 10                              14, 30, 46
10330         10, 175, 10                              14, 30, 46
10331         10, 100, 10                              14, 30, 46
10332         10, 175, 10                              14, 30, 46
10333         10, 300, 10                              14, 30, 46
10334         10, 175, 10                              14, 30, 46
10335         10, 125, 10                              14, 30, 46
10336         10, 525, 10                              14, 30, 46
10337         10, 175, 10                              14, 30, 46
10338         10, 250, 10                              13, 29, 45
10339         10, 300, 10                              13, 29, 45
10340         10, 850, 10                              13, 29, 45
10341         10, 150, 10                              13, 29, 45
10342         10, 150, 10                              13, 29, 45
10343         150, 10, 10                               3, 19, 35
10344          75, 10, 10                               3, 19, 35
10345         225, 10, 10                               3, 19, 35
10346         10, 100, 10                              15, 31, 47
10347         10, 250, 10                              15, 31, 47
10348          10, 75, 10                              15, 31, 47
10349         10, 175, 10                              15, 31, 47
10350         10, 450, 10                              15, 31, 47
10351         10, 250, 10                              15, 31, 47
10352         10, 475, 10                              15, 31, 47
10353         10, 225, 10                              15, 31, 47
10354          10, 25, 10                              13, 29, 45
10355         10, 225, 10                              15, 31, 47
10356          10, 25, 10                              13, 29, 45
10357         10, 375, 10                              15, 31, 47
10358         10, 125, 10                              14, 30, 46
10359         10, 150, 10                              14, 30, 46
10360          10, 75, 10                              14, 30, 46
10361         10, 100, 10                              14, 30, 46
10362          10, 25, 10                              12, 28, 44
10363         10, 125, 10                              14, 30, 46
10364          10, 75, 10                              14, 30, 46
10365         10, 175, 10                              14, 30, 46
10366         10, 175, 10                              14, 30, 46
10367         10, 150, 10                              11, 27, 43
10368         10, 625, 10                              11, 27, 43
10369         10, 200, 10                              11, 27, 43
10370         10, 250, 10                              11, 27, 43
10371         10, 225, 10                              11, 27, 43
10372          10, 75, 10                              11, 27, 43
10373         150, 10, 10                               6, 22, 38
10374         150, 10, 10                               5, 21, 37
10375         275, 10, 10                               6, 22, 38
10376         425, 10, 10                               5, 21, 37
10377         225, 10, 10                               5, 21, 37
10378         275, 10, 10                               5, 21, 37
10379         150, 10, 10                               5, 21, 37
10380         250, 10, 10                               5, 21, 37
10381         175, 10, 10                               5, 21, 37
10382          75, 10, 10                               4, 20, 36
10383         250, 10, 10                               5, 21, 37
10384         375, 10, 10                               5, 21, 37
10385         525, 10, 10                               5, 21, 37
10386         150, 10, 10                               4, 20, 36
10387         850, 10, 10                               5, 21, 37
10388         325, 10, 10                               5, 21, 37
10389         100, 10, 10                               4, 20, 36
10390         200, 10, 10                               4, 20, 36
10391         125, 10, 10                               4, 20, 36
10392         175, 10, 10                               4, 20, 36
10393         200, 10, 10                               4, 20, 36
10394         175, 10, 10                               4, 20, 36
10395         150, 10, 10                               4, 20, 36
10396         175, 10, 10                               6, 22, 38
10397          75, 10, 10                               6, 22, 38
10398         125, 10, 10                               6, 22, 38
10399         175, 10, 10                               6, 22, 38
10400         225, 10, 10                               6, 22, 38
10401          25, 10, 10                               2, 18, 34
10402         350, 10, 10                               6, 22, 38
10403         200, 10, 10                               6, 22, 38
10404          75, 10, 10                               5, 21, 37
10405         300, 10, 10                               6, 22, 38
10406         150, 10, 10                               6, 22, 38
10407         375, 10, 10                               6, 22, 38
10408         225, 10, 10                               6, 22, 38
10409         300, 10, 10                               6, 22, 38
10410         150, 10, 10                               6, 22, 38
10411         200, 10, 10                               6, 22, 38
10412         150, 10, 10                               6, 22, 38
10413         225, 10, 10                               6, 22, 38
10414         10, 10, 250                              10, 26, 42
10415         10, 10, 225                              10, 26, 42
10416         10, 10, 175                              10, 26, 42
10417         10, 10, 200                              10, 26, 42
10418         10, 10, 125                              10, 26, 42
10419         10, 10, 250                              10, 26, 42
10420         10, 10, 250                              10, 26, 42
10421         10, 10, 125                              10, 26, 42
10422         10, 10, 250                              10, 26, 42
10423         10, 10, 300                              10, 26, 42
10424         10, 10, 100                              10, 26, 42
10425         10, 10, 300                              10, 26, 42
10426         10, 10, 100                              10, 26, 42
10427         10, 10, 225                              10, 26, 42
10428         10, 10, 250                              10, 26, 42
10429         10, 10, 175                              10, 26, 42
10430         10, 10, 175                              10, 26, 42
10431         10, 10, 125                              10, 26, 42
10432         10, 10, 125                               9, 25, 41
10433         10, 10, 300                              10, 26, 42
10434         10, 10, 450                               9, 25, 41
10435         10, 10, 175                               9, 25, 41
10436         10, 10, 150                               9, 25, 41
10437          10, 10, 25                               8, 24, 40
10438          10, 10, 50                               8, 24, 40
10439         10, 10, 100                               9, 25, 41
10440         10, 10, 225                               9, 25, 41
10441         10, 10, 150                               9, 25, 41
10442         10, 10, 375                               9, 25, 41
10443         10, 375, 10                              12, 28, 44
10444         10, 100, 10                              12, 28, 44
10445         10, 100, 10                              12, 28, 44
10446         10, 150, 10                              12, 28, 44
10447         10, 150, 10                              10, 26, 42
10448         200, 10, 10                               4, 20, 36
10449         225, 10, 10                               4, 20, 36
10450         100, 10, 10                               4, 20, 36
10451         125, 10, 10                               3, 19, 35
10452         225, 10, 10                               4, 20, 36
10453         300, 10, 10                               4, 20, 36
10454         300, 10, 10                               4, 20, 36
10455         200, 10, 10                               4, 20, 36
10456         300, 10, 10                               4, 20, 36
10457          50, 10, 10                               3, 19, 35
10458         475, 10, 10                               4, 20, 36
10459         375, 10, 10                               4, 20, 36
10460         100, 10, 10                               3, 19, 35
10461         250, 10, 10                               3, 19, 35
10462         350, 10, 10                               3, 19, 35
10463         125, 10, 10                               3, 19, 35
10464         250, 10, 10                               3, 19, 35
10465         100, 10, 10                               3, 19, 35
10466         125, 10, 10                               3, 19, 35
10467         10, 10, 325                               7, 23, 39
10468         10, 10, 175                               7, 23, 39
10469         10, 10, 175                               7, 23, 39
10470         10, 10, 400                               7, 23, 39
10471         10, 10, 100                               7, 23, 39
10472          10, 10, 75                               7, 23, 39
10473         10, 10, 150                               7, 23, 39
10474          10, 10, 75                               6, 22, 38
10475          10, 10, 25                               6, 22, 38
10476         10, 10, 300                               7, 23, 39
10477          10, 10, 25                               6, 22, 38
10478         10, 10, 150                               6, 22, 38
10479          10, 10, 25                               6, 22, 38
10480         10, 10, 200                               6, 22, 38
10481         10, 10, 125                               6, 22, 38
10482          10, 10, 25                               6, 22, 38
10483          10, 10, 75                               6, 22, 38
10484         10, 10, 175                               6, 22, 38
10485         10, 10, 200                               6, 22, 38
10486          10, 10, 50                               6, 22, 38
10487         10, 10, 300                               6, 22, 38
10488         10, 10, 100                               6, 22, 38
10489         10, 10, 200                               6, 22, 38
10490         10, 10, 175                               6, 22, 38
10491         10, 10, 175                               6, 22, 38
10492         10, 10, 150                               6, 22, 38
10493         10, 10, 175                               6, 22, 38
10494         10, 10, 125                               6, 22, 38
10495          10, 10, 75                               6, 22, 38
10496         10, 10, 200                               6, 22, 38
10497         10, 10, 250                               6, 22, 38
10498         10, 10, 475                               6, 22, 38
10499         10, 10, 250                               6, 22, 38
10500          10, 10, 75                               6, 22, 38
10501         10, 10, 175                               6, 22, 38
10502         10, 10, 225                               5, 21, 37
10503         10, 10, 150                               5, 21, 37
10504         10, 10, 300                               5, 21, 37
10505         10, 10, 200                               5, 21, 37
10506          10, 10, 75                               5, 21, 37
10507         10, 10, 325                               5, 21, 37
10508          10, 10, 25                               5, 21, 37
10509         10, 10, 175                               5, 21, 37
10510         10, 10, 150                               5, 21, 37
10511         10, 10, 150                               5, 21, 37
10512         10, 10, 100                               5, 21, 37
10513         10, 10, 125                               5, 21, 37
10514          10, 10, 75                               5, 21, 37
10515          10, 10, 50                               5, 21, 37
10516          10, 10, 50                               5, 21, 37
10517         10, 10, 150                               5, 21, 37
10518         10, 10, 125                               5, 21, 37
10519         10, 10, 150                               5, 21, 37
10520          10, 10, 25                               5, 21, 37
10521          10, 10, 25                               5, 21, 37
10522         10, 10, 100                               5, 21, 37
10523          10, 10, 75                               5, 21, 37
10524         10, 10, 150                               5, 21, 37
10525          10, 10, 75                               5, 21, 37
10526         10, 10, 100                               5, 21, 37
10527         10, 250, 10                               9, 25, 41
10528          10, 75, 10                               9, 25, 41
10529          10, 25, 10                               9, 25, 41
10530         10, 325, 10                               9, 25, 41
10531          10, 75, 10                               9, 25, 41
10532         10, 100, 10                               9, 25, 41
10533         10, 425, 10                               9, 25, 41
10534         10, 250, 10                               9, 25, 41
10535         10, 200, 10                               9, 25, 41
10536          10, 75, 10                               9, 25, 41
10537         10, 350, 10                               9, 25, 41
10538         10, 150, 10                               9, 25, 41
10539         10, 600, 10                               9, 25, 41
10540         10, 150, 10                               9, 25, 41
10541          10, 50, 10                               9, 25, 41
10542         10, 275, 10                               9, 25, 41
10543         10, 175, 10                               8, 24, 40
10544         10, 350, 10                               9, 25, 41
10545         10, 200, 10                               9, 25, 41
10546          10, 75, 10                               8, 24, 40
10547          10, 25, 10                               8, 24, 40
10548         10, 125, 10                               8, 24, 40
10549         10, 225, 10                               8, 24, 40
10550          10, 25, 10                               8, 24, 40
10551         10, 350, 10                               8, 24, 40
10552         10, 125, 10                               8, 24, 40
10553         10, 125, 10                               8, 24, 40
10554         10, 325, 10                               8, 24, 40
10555         10, 250, 10                               8, 24, 40
10556          10, 75, 10                               8, 24, 40
10557         10, 475, 10                               8, 24, 40
10558          10, 25, 10                               8, 24, 40
10559         10, 150, 10                               8, 24, 40
10560          10, 25, 10                               7, 23, 39
10561         10, 150, 10                               8, 24, 40
10562         10, 625, 10                               8, 24, 40
10563         10, 225, 10                               8, 24, 40
10564         10, 100, 10                               8, 24, 40
10565         10, 300, 10                               7, 23, 39
10566         10, 400, 10                               8, 24, 40
10567         10, 150, 10                               7, 23, 39
10568         10, 150, 10                               7, 23, 39
10569         10, 125, 10                               7, 23, 39
10570         10, 225, 10                               7, 23, 39
10571         10, 125, 10                               7, 23, 39
10572         10, 175, 10                               7, 23, 39
10573         10, 125, 10                               7, 23, 39
10574          10, 50, 10                               6, 22, 38
10575         10, 225, 10                               7, 23, 39
10576         10, 300, 10                               7, 23, 39
10577         10, 200, 10                               7, 23, 39
10578         10, 100, 10                               7, 23, 39
10579         10, 100, 10                               7, 23, 39
10580         10, 175, 10                               7, 23, 39
10581          10, 25, 10                               6, 22, 38
10582         10, 200, 10                               7, 23, 39
10583         10, 275, 10                               7, 23, 39
10584          10, 50, 10                               5, 21, 37
10585         10, 225, 10                               7, 23, 39
10586         10, 150, 10                               7, 23, 39
10587         10, 275, 10                               7, 23, 39
10588         10, 300, 10                               7, 23, 39
10589         10, 125, 10                               7, 23, 39
10590         10, 150, 10                               6, 22, 38
10591         10, 125, 10                               6, 22, 38
10592         10, 200, 10                               6, 22, 38
10593         10, 125, 10                               6, 22, 38
10594         10, 100, 10                               6, 22, 38
10595         10, 475, 10                               6, 22, 38
10596         10, 175, 10                               6, 22, 38
10597         10, 100, 10                               6, 22, 38
10598         10, 150, 10                               6, 22, 38
10599         10, 325, 10                               6, 22, 38
10600         10, 225, 10                               6, 22, 38
10601          10, 25, 10                               5, 21, 37
10602         10, 200, 10                               6, 22, 38
10603         10, 100, 10                               6, 22, 38
10604         10, 175, 10                               6, 22, 38
10605         10, 175, 10                               6, 22, 38
10606         10, 125, 10                               6, 22, 38
10607          10, 50, 10                               5, 21, 37
10608         10, 200, 10                               6, 22, 38
10609          10, 25, 10                               5, 21, 37
10610         10, 425, 10                               6, 22, 38
10611         10, 425, 10                               6, 22, 38
10612          10, 75, 10                               5, 21, 37
10613         10, 150, 10                               5, 21, 37
10614          10, 25, 10                               4, 20, 36
10615         10, 225, 10                               5, 21, 37
10616         10, 250, 10                               5, 21, 37
10617         10, 225, 10                               5, 21, 37
10618          10, 25, 10                               4, 20, 36
10619         10, 175, 10                               5, 21, 37
10620         10, 100, 10                               5, 21, 37
10621         10, 175, 10                               5, 21, 37
10622          10, 75, 10                               5, 21, 37
10623         10, 200, 10                               5, 21, 37
10624         10, 275, 10                               5, 21, 37
10625         10, 300, 10                               5, 21, 37
10626         10, 350, 10                               5, 21, 37
10627         10, 325, 10                               5, 21, 37
10628         10, 275, 10                               5, 21, 37
10629         10, 100, 10                               5, 21, 37
10630         10, 275, 10                               5, 21, 37
10631         10, 150, 10                               5, 21, 37
10632         10, 200, 10                               5, 21, 37
10633         10, 400, 10                               4, 20, 36
10634         10, 175, 10                               4, 20, 36
10635         10, 150, 10                               4, 20, 36
10636         10, 175, 10                               4, 20, 36
10637         10, 175, 10                               4, 20, 36
10638         10, 325, 10                               4, 20, 36
10639         10, 350, 10                               4, 20, 36
10640         10, 175, 10                               4, 20, 36
10641         10, 150, 10                               4, 20, 36
10642         10, 250, 10                               4, 20, 36
10643          10, 75, 10                               3, 19, 35
10644          10, 25, 10                               3, 19, 35
10645         10, 200, 10                               4, 20, 36
10646         10, 275, 10                               4, 20, 36
10647         10, 375, 10                               4, 20, 36
10648         10, 150, 10                               4, 20, 36
10649         10, 350, 10                               4, 20, 36
10650          10, 25, 10                               3, 19, 35
10651         10, 325, 10                               4, 20, 36
10652         10, 225, 10                               3, 19, 35
10653         10, 225, 10                               3, 19, 35
10654         10, 300, 10                               3, 19, 35
10655         10, 175, 10                               3, 19, 35
10656         10, 125, 10                               3, 19, 35
10657          10, 25, 10                               3, 19, 35
10658         10, 175, 10                               3, 19, 35
10659         10, 375, 10                               3, 19, 35
10660         10, 100, 10                               3, 19, 35
10661         10, 175, 10                               3, 19, 35
10662         10, 275, 10                               3, 19, 35
10663         10, 325, 10                               3, 19, 35
10664         10, 125, 10                               3, 19, 35
10665         10, 275, 10                               3, 19, 35
10666         10, 175, 10                               3, 19, 35
10667         10, 125, 10                               3, 19, 35
10668         10, 325, 10                               3, 19, 35
10669         10, 125, 10                               2, 18, 34
10670         10, 400, 10                               3, 19, 35
10671         10, 375, 10                               2, 18, 34
10672         10, 125, 10                               2, 18, 34
10673         10, 175, 10                               2, 18, 34
10674         10, 250, 10                               2, 18, 34
10675         10, 150, 10                               2, 18, 34
10676         10, 125, 10                               2, 18, 34
10677         10, 150, 10                               2, 18, 34
10678         10, 100, 10                               2, 18, 34
10679         10, 125, 10                               2, 18, 34
10680          10, 75, 10                               2, 18, 34
10681          10, 75, 10                               2, 18, 34
10682         10, 500, 10                               2, 18, 34
