hh_id               itime                                     day      Interviewer ID
10029      10, 10, 10, 10        141(29), 40(8), 120(24), 200(40)          1, 7, 7, 7
10030      10, 10, 10, 10         79(16), 39(8), 119(24), 199(40)         1, 7, 8, 12
10031      10, 10, 10, 10         78(16), 38(8), 118(24), 198(40)          1, 7, 7, 7
10032      10, 10, 10, 10         77(16), 117(24), 197(40), 37(8)          1, 8, 8, 9
10033      10, 10, 10, 10        236(48), 36(8), 116(24), 196(40)          1, 7, 7, 7
10034      10, 10, 10, 10         80(16), 35(7), 115(23), 195(39)          1, 7, 7, 7
10035      10, 10, 10, 10         79(16), 34(7), 114(23), 194(39)          1, 7, 7, 8
10036      10, 10, 10, 10         78(16), 33(7), 113(23), 193(39)          1, 8, 8, 8
10037      10, 10, 10, 10         77(16), 192(39), 112(23), 32(7)          1, 7, 8, 9
10038      10, 10, 10, 10         76(16), 31(7), 111(23), 191(39)          1, 7, 7, 7
10039      10, 10, 10, 10        232(47), 30(6), 190(38), 110(22)          1, 6, 7, 8
10040      10, 10, 10, 10         71(15), 29(6), 109(22), 189(38)         1, 7, 7, 12
10041      10, 10, 10, 10        235(47), 28(6), 108(22), 188(38)          1, 7, 8, 8
10042      10, 10, 10, 10         74(15), 27(6), 107(22), 187(38)          1, 7, 7, 8
10043      10, 10, 10, 10        233(47), 26(6), 106(22), 186(38)          1, 7, 8, 8
10044      10, 10, 10, 10        232(47), 25(5), 185(37), 105(21)          1, 6, 7, 8
10045      10, 10, 10, 10         71(15), 24(5), 104(21), 184(37)          1, 7, 8, 8
10046      10, 10, 10, 10        235(47), 103(21), 183(37), 23(5)          1, 7, 7, 8
10047      10, 10, 10, 10        234(47), 102(21), 182(37), 22(5)          1, 7, 7, 8
10048      10, 10, 10, 10         73(15), 21(5), 101(21), 181(37)          1, 7, 8, 9
10049      10, 10, 10, 10         72(15), 20(4), 100(20), 180(36)          1, 6, 8, 8
10050      10, 10, 10, 10          71(15), 19(4), 99(20), 179(36)          1, 7, 7, 8
10051     300, 10, 10, 10         139(28), 18(4), 98(20), 178(36)          1, 7, 7, 7
10052      50, 10, 10, 10         138(28), 97(20), 177(36), 17(4)          1, 6, 7, 9
10053      10, 10, 10, 10          57(12), 16(4), 96(20), 176(36)         1, 7, 7, 13
10054      10, 10, 10, 10         212(43), 15(3), 95(19), 175(35)          1, 7, 7, 8
10055      10, 10, 10, 10         211(43), 14(3), 94(19), 174(35)          1, 6, 6, 7
10056      10, 10, 10, 10          55(11), 13(3), 93(19), 173(35)          1, 7, 7, 7
10057      10, 10, 10, 10         214(43), 92(19), 172(35), 12(3)          1, 7, 8, 9
10058      10, 10, 10, 10         213(43), 11(3), 91(19), 171(35)          1, 8, 8, 9
10059      10, 10, 10, 10         212(43), 90(18), 10(2), 170(34)          1, 6, 7, 7
10060      10, 10, 10, 10          211(43), 89(18), 9(2), 169(34)         1, 6, 7, 13
10061      10, 10, 10, 10           55(11), 8(2), 88(18), 168(34)          1, 7, 7, 7
10062      10, 10, 10, 10           54(11), 7(2), 167(34), 87(18)         1, 7, 7, 12
10063      10, 10, 10, 10          213(43), 86(18), 6(2), 166(34)          1, 7, 9, 9
10064      10, 10, 10, 10          212(43), 5(1), 85(17), 165(33)          1, 6, 7, 8
10065      10, 10, 10, 10          211(43), 84(17), 4(1), 164(33)         1, 7, 9, 11
10066      10, 10, 10, 10           92(19), 3(1), 83(17), 163(33)         1, 7, 7, 11
10067      10, 10, 10, 10           91(19), 2(1), 82(17), 162(33)         1, 6, 6, 11
10068     175, 10, 10, 10            15(3), 161(33), 81(17), 1(1)          1, 7, 8, 9
