hh_id               itime                                     day
10154      10, 10, 10, 10         36(8), 75(15), 155(31), 235(47)
10155      10, 10, 10, 10         40(8), 74(15), 154(31), 234(47)
10156      10, 10, 10, 10         39(8), 73(15), 153(31), 233(47)
10157      10, 10, 10, 10         38(8), 72(15), 152(31), 232(47)
10158      10, 10, 10, 10         37(8), 71(15), 151(31), 231(47)
10159      10, 10, 10, 10         34(7), 70(14), 150(30), 230(46)
10160      10, 10, 10, 10         33(7), 69(14), 149(30), 229(46)
10161      10, 10, 10, 10         32(7), 68(14), 148(30), 228(46)
10162      10, 10, 10, 10         31(7), 67(14), 147(30), 227(46)
10163      10, 10, 10, 10         35(7), 66(14), 146(30), 226(46)
10164      10, 10, 10, 10         34(7), 65(13), 145(29), 225(45)
10165      10, 10, 10, 10         33(7), 64(13), 144(29), 224(45)
10166      10, 10, 10, 10         32(7), 63(13), 143(29), 223(45)
10167      10, 10, 10, 10         31(7), 62(13), 142(29), 222(45)
10168      10, 10, 10, 10         35(7), 61(13), 141(29), 221(45)
10169      10, 10, 10, 10         34(7), 60(12), 140(28), 220(44)
10170      10, 10, 10, 10         33(7), 59(12), 139(28), 219(44)
10171      10, 10, 10, 10         32(7), 58(12), 138(28), 218(44)
10172      10, 10, 10, 10         31(7), 57(12), 137(28), 217(44)
10173      10, 10, 10, 10         35(7), 56(12), 136(28), 216(44)
10174      10, 10, 10, 10         34(7), 55(11), 135(27), 215(43)
10175      10, 10, 10, 10         33(7), 54(11), 134(27), 214(43)
10176      10, 10, 10, 10         32(7), 53(11), 133(27), 213(43)
10177          10, 10, 10                65(13), 132(27), 212(43)
10178          10, 10, 10                64(13), 131(27), 211(43)
10179          10, 10, 10                63(13), 130(26), 210(42)
10180          10, 10, 10                62(13), 129(26), 209(42)
10181          10, 10, 10                61(13), 128(26), 208(42)
10182          10, 10, 10                65(13), 127(26), 207(42)
10183          10, 10, 10                64(13), 126(26), 206(42)
10184          10, 10, 10                57(12), 125(25), 205(41)
10185          10, 10, 10                56(12), 124(25), 204(41)
10186          10, 10, 10                60(12), 123(25), 203(41)
10187          10, 10, 10                49(10), 122(25), 202(41)
10188          10, 10, 10                59(12), 121(25), 201(41)
10189          10, 10, 10                58(12), 120(24), 200(40)
10190          10, 10, 10                57(12), 119(24), 199(40)
10191          10, 10, 10                56(12), 118(24), 198(40)
10192          10, 10, 10                60(12), 117(24), 197(40)
10193          10, 10, 10                59(12), 116(24), 196(40)
10194          10, 10, 10                58(12), 115(23), 195(39)
10195          10, 10, 10                57(12), 114(23), 194(39)
10196          10, 10, 10                56(12), 113(23), 193(39)
10197          10, 10, 10                60(12), 112(23), 192(39)
10198          10, 10, 10                59(12), 111(23), 191(39)
10199          10, 10, 10                58(12), 110(22), 190(38)
10200          10, 10, 10                57(12), 109(22), 189(38)
10201          10, 10, 10                56(12), 108(22), 188(38)
10202          10, 10, 10                60(12), 107(22), 187(38)
10203          10, 10, 10                59(12), 106(22), 186(38)
10204          10, 10, 10                52(11), 105(21), 185(37)
10205          10, 10, 10                51(11), 104(21), 184(37)
10206          10, 10, 10                58(12), 103(21), 183(37)
10207          10, 10, 10                55(11), 102(21), 182(37)
10208          10, 10, 10                48(10), 101(21), 181(37)
10209          10, 10, 10                54(11), 100(20), 180(36)
10210          10, 10, 10                 53(11), 99(20), 179(36)
10211          10, 10, 10                 52(11), 98(20), 178(36)
10212          10, 10, 10                 51(11), 97(20), 177(36)
10213          10, 10, 10                 55(11), 96(20), 176(36)
10214          10, 10, 10                  44(9), 95(19), 175(35)
10215          10, 10, 10                 54(11), 94(19), 174(35)
10216          10, 10, 10                 79(16), 93(19), 173(35)
10217          10, 10, 10                 78(16), 92(19), 172(35)
10218          10, 10, 10                 77(16), 91(19), 171(35)
10219          10, 10, 10                 76(16), 90(18), 170(34)
10220          10, 10, 10                 80(16), 89(18), 169(34)
10221          10, 10, 10                 79(16), 88(18), 168(34)
10222          10, 10, 10                 78(16), 87(18), 167(34)
10223          10, 10, 10                 77(16), 86(18), 166(34)
10224          10, 10, 10                 76(16), 85(17), 165(33)
10225          10, 10, 10                 80(16), 84(17), 164(33)
10226          10, 10, 10                 79(16), 83(17), 163(33)
10227          10, 10, 10                 78(16), 82(17), 162(33)
10228          10, 10, 10                 74(15), 81(17), 161(33)
10229      10, 10, 10, 10        73(15), 80(16), 160(32), 240(48)
10230      10, 10, 10, 10        77(16), 79(16), 159(32), 239(48)
10231      10, 10, 10, 10        76(16), 78(16), 158(32), 238(48)
10232      10, 10, 10, 10        72(15), 77(16), 157(32), 237(48)
10233          10, 10, 10                80(16), 156(32), 236(48)
10234          10, 10, 10                79(16), 155(31), 235(47)
10235          10, 10, 10                78(16), 154(31), 234(47)
10236      10, 10, 10, 10        71(15), 73(15), 153(31), 233(47)
10237          10, 10, 10                75(15), 152(31), 232(47)
10238          10, 10, 10                74(15), 151(31), 231(47)
10239          10, 10, 10                73(15), 150(30), 230(46)
10240          10, 10, 10                72(15), 149(30), 229(46)
10241          10, 10, 10                71(15), 148(30), 228(46)
10242          10, 10, 10                75(15), 147(30), 227(46)
10243          10, 10, 10                74(15), 146(30), 226(46)
