hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,,,,,,,
10205,18-206-A-0,1,3,118,75,10,10,95,,,,,
10206,18-225-A-0,1,9,118,225,10,10,245,,,,,
10207,18-246-A-0,1,7,118,175,10,10,195,,,,,
10208,18-253-B-0,1,1,118,25,10,10,45,,,,,
10209,18-258-A-0,1,4,118,100,10,10,120,,,,,
10210,18-273-A-0,1,14,118,350,10,10,370,,,,,
10211,18-283-A-0,1,5,118,125,10,10,145,,,,,
10212,18-293-A-0,1,6,118,150,10,10,170,,,,,
10213,18-297-A-0,1,7,118,175,10,10,195,,,,,
10214,18-302-A-0,1,3,118,75,10,10,95,,,,,
10215,18-324-A-0,1,6,118,150,10,10,170,,,,,
10216,19-021-A-0,1,7,119,175,10,10,195,,,,,
10217,19-035-A-0,1,13,119,325,10,10,345,,,,,
10218,19-048-B-0,1,16,119,400,10,10,420,,,,,
10219,19-064-A-0,1,15,119,375,10,10,395,,,,,
10220,19-067-A-0,1,15,119,375,10,10,395,,,,,
10221,19-077-B-0,1,11,119,275,10,10,295,,,,,
10222,19-110-A-0,1,4,119,100,10,10,120,,,,,
10223,19-131-A-0,1,3,119,75,10,10,95,,,,,
10224,19-143-A-0,1,4,119,100,10,10,120,,,,,
10225,19-150-A-0,1,16,119,400,10,10,420,,,,,
10226,19-153-B-0,1,8,119,200,10,10,220,,,,,
10227,19-167-B-0,1,11,119,275,10,10,295,,,,,
10228,19-171-A-0,1,1,119,25,10,10,45,,,,,
10229,19-188-A-0,1,2,119,50,10,10,70,,,,,
10230,19-196-A-0,1,14,119,350,10,10,370,,,,,
10231,19-200-A-0,1,8,119,200,10,10,220,,,,,
10232,19-213-A-0,1,3,119,75,10,10,95,,,,,
10233,19-222-A-0,1,8,119,200,10,10,220,,,,,
10234,19-226-A-0,1,10,119,250,10,10,270,,,,,
10235,19-231-A-0,1,10,119,250,10,10,270,,,,,
10236,19-241-A-0,1,6,119,150,10,10,170,,,,,
10237,19-242-A-0,1,6,119,150,10,10,170,,,,,
10238,19-249-A-0,1,1,119,25,10,10,45,,,,,
10239,19-250-A-0,1,9,119,225,10,10,245,,,,,
10240,19-261-A-0,1,8,119,200,10,10,220,,,,,
10241,19-282-A-0,1,1,119,25,10,10,45,,,,,
10242,19-306-A-0,1,10,119,250,10,10,270,,,,,
10243,19-317-A-0,1,9,119,225,10,10,245,,,,,
10244,19-320-A-0,1,10,119,250,10,10,270,,,,,
10245,19-330-A-0,1,9,119,225,10,10,245,,,,,
10246,19-337-C-0,1,3,119,75,10,10,95,,,,,
10247,19-339-B-0,1,2,119,50,10,10,70,,,,,
10248,19-342-A-0,1,7,119,175,10,10,195,,,,,
10249,19-377-A-0,1,1,119,25,10,10,45,,,,,
10250,19-441-A-0,1,10,119,250,10,10,270,,,,,
10251,19-443-A-0,1,7,119,175,10,10,195,,,,,
10252,19-495-A-0,1,4,119,100,10,10,120,,,,,
10253,19-498-A-0,1,14,119,350,10,10,370,,,,,
10254,19-515-A-0,1,6,119,150,10,10,170,,,,,
10255,19-556-C-0,1,5,119,125,10,10,145,,,,,
10256,19-581-A-0,1,4,119,100,10,10,120,,,,,
10257,19-585-A-0,1,8,119,200,10,10,220,,,,,
10258,19-596-A-0,1,3,119,75,10,10,95,,,,,
10259,19-597-A-0,1,4,119,100,10,10,120,,,,,
10260,19-611-A-0,1,7,119,175,10,10,195,,,,,
10261,19-614-B-0,1,5,119,125,10,10,145,,,,,
10262,19-617-A-0,1,4,119,100,10,10,120,,,,,
10263,19-630-A-0,1,6,119,150,10,10,170,,,,,
10264,20-011-A-0,1,20,120,500,10,10,520,,,,,
10265,20-017-B-0,1,5,120,125,10,10,145,,,,,
10266,20-023-A-0,1,5,120,125,10,10,145,,,,,
10267,20-028-B-0,1,14,120,350,10,10,370,,,,,
10268,20-061-A-0,1,9,120,225,10,10,245,,,,,
10269,20-067-A-0,1,8,120,200,10,10,220,,,,,
10270,20-069-B-0,1,26,120,650,10,10,670,,,,,
10271,20-073-A-0,1,8,120,200,10,10,220,,,,,
10272,20-077-A-0,1,11,120,275,10,10,295,,,,,
10273,20-080-A-0,1,18,120,450,10,10,470,,,,,
10274,20-084-A-0,1,24,120,600,10,10,620,,,,,
10275,20-096-C-0,1,3,120,75,10,10,95,,,,,
10276,20-097-A-0,1,7,120,175,10,10,195,,,,,
10277,20-100-A-0,1,19,120,475,10,10,495,,,,,
10278,20-111-A-0,1,13,120,325,10,10,345,,,,,
10279,20-121-A-0,1,6,120,150,10,10,170,,,,,
10280,20-122-B-0,1,16,120,400,10,10,420,,,,,
10281,20-122-C-0,1,12,120,300,10,10,320,,,,,
