hh_id               itime                                     day      Interviewer ID
10158          75, 10, 10                 198(40), 38(8), 116(24)             3, 5, 5
10159         275, 10, 10                 191(39), 115(23), 33(7)             2, 4, 5
10160         100, 10, 10                 195(39), 115(23), 33(7)             2, 4, 5
10161      74, 26, 10, 10        195(39), 191(39), 115(23), 33(7)          2, 3, 4, 5
10162          75, 10, 10                 192(39), 115(23), 33(7)             3, 4, 5
10163          75, 10, 10                 192(39), 115(23), 33(7)             3, 4, 5
10164         150, 10, 10                 194(39), 115(23), 33(7)             2, 4, 5
10165     24, 376, 10, 10        191(39), 193(39), 115(23), 33(7)          1, 1, 4, 5
10166         100, 10, 10                 191(39), 115(23), 33(7)             3, 4, 5
10167      54, 21, 10, 10        191(39), 192(39), 115(23), 33(7)          3, 3, 4, 5
10168     31, 119, 10, 10        193(39), 194(39), 115(23), 33(7)          2, 2, 4, 5
10169          25, 10, 10                 192(39), 115(23), 32(7)             3, 4, 5
10170         100, 10, 10                 191(39), 115(23), 32(7)             3, 4, 5
10171     149, 76, 10, 10        191(39), 192(39), 115(23), 32(7)          2, 2, 4, 5
10172         175, 10, 10                 193(39), 115(23), 32(7)             2, 4, 5
10173          50, 10, 10                 192(39), 115(23), 32(7)             3, 4, 5
10174          25, 10, 10                 193(39), 115(23), 32(7)             3, 4, 5
10175         125, 10, 10                 195(39), 115(23), 32(7)             2, 4, 5
10176         125, 10, 10                 195(39), 32(7), 112(23)             2, 5, 5
10177     59, 216, 10, 10       224(45), 225(45), 62(13), 141(29)          2, 2, 5, 6
10178         300, 10, 10                224(45), 62(13), 141(29)             2, 5, 6
10179     224, 76, 10, 10       223(45), 224(45), 62(13), 145(29)          2, 2, 5, 5
10180     20, 380, 10, 10       224(45), 225(45), 64(13), 145(29)          1, 1, 5, 5
10181     10, 415, 10, 10       222(45), 224(45), 64(13), 141(29)          1, 1, 5, 6
10182     72, 303, 10, 10       221(45), 222(45), 64(13), 142(29)          2, 2, 5, 6
10183         425, 10, 10                222(45), 64(13), 142(29)             1, 5, 6
10184    245, 105, 10, 10       217(44), 218(44), 59(12), 139(28)          1, 1, 5, 6
10185     100, 50, 10, 10       218(44), 219(44), 59(12), 139(28)          2, 2, 5, 6
10186         125, 10, 10                220(44), 59(12), 139(28)             2, 5, 6
10187          25, 10, 10                206(42), 49(10), 126(26)             3, 5, 6
10188         125, 10, 10                219(44), 59(12), 139(28)             2, 5, 6
10189         125, 10, 10                219(44), 58(12), 139(28)             2, 5, 6
10190         150, 10, 10                218(44), 58(12), 139(28)             2, 5, 6
10191         225, 10, 10                216(44), 58(12), 139(28)             2, 5, 6
10192         100, 10, 10                220(44), 58(12), 139(28)             2, 5, 6
10193      49, 26, 10, 10       220(44), 216(44), 57(12), 139(28)          2, 3, 5, 6
10194          75, 10, 10                216(44), 58(12), 139(28)             3, 5, 6
10195     80, 120, 10, 10       216(44), 217(44), 58(12), 139(28)          2, 2, 5, 6
10196     140, 35, 10, 10       217(44), 218(44), 58(12), 139(28)          2, 2, 5, 6
10197    135, 115, 10, 10       219(44), 220(44), 58(12), 139(28)          1, 1, 5, 6
10198          50, 10, 10                216(44), 58(12), 139(28)             3, 5, 6
10199         175, 10, 10                217(44), 58(12), 139(28)             2, 5, 6
10200         225, 10, 10                220(44), 58(12), 139(28)             1, 5, 6
10201         300, 10, 10                219(44), 58(12), 140(28)             1, 5, 6
10202    435, 190, 10, 10       216(44), 217(44), 58(12), 140(28)          1, 1, 5, 6
10203         150, 10, 10                218(44), 58(12), 140(28)             2, 5, 6
10204         100, 10, 10                211(43), 54(11), 135(27)             3, 5, 6
10205          75, 10, 10                212(43), 54(11), 135(27)             3, 5, 6
10206     95, 130, 10, 10       220(44), 216(44), 58(12), 140(28)          1, 2, 5, 6
10207         175, 10, 10                213(43), 54(11), 135(27)             2, 5, 6
10208          25, 10, 10                206(42), 49(10), 126(26)             3, 5, 6
10209         100, 10, 10                211(43), 54(11), 135(27)             3, 5, 6
10210         350, 10, 10                212(43), 54(11), 134(27)             2, 5, 6
10211         125, 10, 10                211(43), 54(11), 134(27)             3, 5, 6
10212         150, 10, 10                215(43), 54(11), 134(27)             2, 5, 6
10213     102, 73, 10, 10       213(43), 214(43), 54(11), 134(27)          2, 2, 5, 6
10214          75, 10, 10                 203(41), 43(9), 122(25)             3, 6, 6
10215         150, 10, 10                215(43), 54(11), 134(27)             2, 5, 6
10216         175, 10, 10                237(48), 78(16), 156(32)             3, 5, 6
10217     285, 40, 10, 10       236(48), 237(48), 77(16), 156(32)          2, 2, 5, 6
10218     37, 363, 10, 10       237(48), 238(48), 78(16), 157(32)          1, 1, 5, 6
10219     74, 301, 10, 10       238(48), 239(48), 78(16), 157(32)          1, 1, 5, 6
10220    136, 239, 10, 10       239(48), 240(48), 78(16), 157(32)          1, 1, 5, 6
10221    122, 153, 10, 10       237(48), 238(48), 77(16), 157(32)          2, 2, 5, 6
10222         100, 10, 10                237(48), 77(16), 157(32)             3, 5, 6
10223      62, 13, 10, 10       237(48), 238(48), 77(16), 157(32)          3, 3, 5, 6
10224         100, 10, 10                237(48), 77(16), 157(32)             3, 5, 6
10225         400, 10, 10                237(48), 77(16), 157(32)             1, 5, 6
10226         200, 10, 10                236(48), 77(16), 157(32)             3, 5, 6
10227         275, 10, 10                237(48), 77(16), 157(32)             2, 5, 6
10228          25, 10, 10                231(47), 73(15), 155(31)             3, 5, 5
10229          50, 10, 10                231(47), 73(15), 155(31)             3, 5, 5
10230    198, 152, 10, 10       240(48), 236(48), 77(16), 157(32)          1, 2, 5, 6
10231         200, 10, 10                240(48), 77(16), 156(32)             2, 5, 6
10232          75, 10, 10                235(47), 73(15), 155(31)             2, 5, 5
10233     174, 26, 10, 10       240(48), 236(48), 78(16), 157(32)          2, 3, 5, 6
10234         250, 10, 10                239(48), 80(16), 157(32)             2, 5, 6
10235     187, 63, 10, 10       239(48), 240(48), 80(16), 157(32)          2, 2, 5, 6
10236     49, 101, 10, 10       233(47), 234(47), 73(15), 155(31)          2, 2, 5, 5
10237         150, 10, 10                233(47), 73(15), 155(31)             2, 5, 5
10238          25, 10, 10                231(47), 73(15), 155(31)             3, 5, 5
10239         225, 10, 10                235(47), 73(15), 155(31)             1, 5, 5
10240         200, 10, 10                231(47), 73(15), 155(31)             2, 5, 5
10241          25, 10, 10                231(47), 73(15), 155(31)             3, 5, 5
10242         250, 10, 10                233(47), 73(15), 155(31)             1, 5, 5
10243     149, 76, 10, 10       234(47), 235(47), 73(15), 155(31)          1, 1, 5, 5
10244     87, 163, 10, 10       231(47), 232(47), 73(15), 155(31)          1, 1, 5, 5
10245         225, 10, 10                234(47), 73(15), 155(31)             1, 5, 5
10246          75, 10, 10                231(47), 73(15), 155(31)             3, 5, 5
10247          50, 10, 10                230(46), 69(14), 146(30)             2, 5, 6
10248         175, 10, 10                232(47), 73(15), 155(31)             2, 5, 5
10249          25, 10, 10                222(45), 62(13), 141(29)             3, 5, 6
10250     187, 63, 10, 10       233(47), 234(47), 73(15), 155(31)          1, 1, 5, 5
10251      87, 88, 10, 10       232(47), 233(47), 73(15), 155(31)          2, 2, 5, 5
10252      86, 14, 10, 10       234(47), 235(47), 73(15), 155(31)          2, 2, 5, 5
10253         350, 10, 10                231(47), 73(15), 155(31)             1, 5, 5
10254         150, 10, 10                233(47), 73(15), 155(31)             2, 5, 5
10255         125, 10, 10                234(47), 73(15), 155(31)             2, 5, 5
10256         100, 10, 10                235(47), 73(15), 155(31)             2, 5, 5
10257     136, 64, 10, 10       235(47), 231(47), 73(15), 152(31)          1, 2, 5, 6
10258          75, 10, 10                235(47), 73(15), 152(31)             2, 5, 6
10259         100, 10, 10                235(47), 73(15), 152(31)             2, 5, 6
10260         175, 10, 10                232(47), 75(15), 152(31)             2, 5, 6
10261         125, 10, 10                234(47), 75(15), 152(31)             2, 5, 6
10262         100, 10, 10                230(46), 68(14), 146(30)             2, 5, 6
10263         150, 10, 10                229(46), 68(14), 146(30)             2, 5, 6
10264    240, 260, 10, 10          167(34), 168(34), 8(2), 86(18)          1, 1, 6, 6
10265         125, 10, 10                   163(33), 83(17), 1(1)             3, 5, 6
10266         125, 10, 10                   164(33), 84(17), 1(1)             3, 5, 6
10267         350, 10, 10                   163(33), 1(1), 81(17)             2, 6, 6
10268         225, 10, 10                   165(33), 1(1), 81(17)             2, 6, 6
10269         200, 10, 10                   162(33), 1(1), 81(17)             3, 6, 6
10270    425, 225, 10, 10          161(33), 162(33), 1(1), 81(17)          1, 1, 6, 6
10271         200, 10, 10                   161(33), 1(1), 81(17)             3, 6, 6
10272     75, 200, 10, 10          163(33), 164(33), 1(1), 81(17)          2, 2, 6, 6
10273     400, 50, 10, 10          161(33), 162(33), 2(1), 81(17)          2, 2, 6, 6
10274    200, 400, 10, 10          162(33), 164(33), 3(1), 81(17)          1, 1, 6, 6
10275      65, 10, 10, 10          164(33), 165(33), 3(1), 81(17)          3, 3, 6, 6
10276         175, 10, 10                   163(33), 3(1), 81(17)             3, 6, 6
10277 25, 425, 25, 10, 10 164(33), 165(33), 161(33), 3(1), 81(17)       1, 1, 2, 6, 6
10278    125, 200, 10, 10       158(32), 159(32), 79(16), 236(48)          1, 1, 5, 6
10279         150, 10, 10                156(32), 79(16), 236(48)             3, 5, 6
10280         400, 10, 10                157(32), 79(16), 236(48)             1, 5, 6
10281     225, 75, 10, 10       159(32), 160(32), 79(16), 236(48)          1, 1, 5, 6
10282         275, 10, 10                160(32), 79(16), 236(48)             1, 5, 6
10283     75, 100, 10, 10       159(32), 160(32), 79(16), 236(48)          2, 2, 5, 6
10284     75, 175, 10, 10       160(32), 156(32), 79(16), 236(48)          1, 2, 5, 6
10285          75, 10, 10                157(32), 79(16), 238(48)             3, 5, 6
10286         250, 10, 10                157(32), 79(16), 238(48)             2, 5, 6
10287         175, 10, 10                159(32), 78(16), 238(48)             2, 5, 6
10288     135, 15, 10, 10       160(32), 156(32), 79(16), 238(48)          2, 3, 5, 6
10289     25, 300, 10, 10       157(32), 158(32), 79(16), 238(48)          1, 1, 5, 6
10290         175, 10, 10                158(32), 79(16), 238(48)             2, 5, 6
10291     33, 342, 10, 10          45(9), 41(9), 123(25), 201(41)          1, 2, 6, 7
10292         400, 10, 10                 45(9), 123(25), 201(41)             1, 6, 7
10293 91, 433, 26, 10, 10   42(9), 43(9), 44(9), 122(25), 201(41)       1, 1, 1, 6, 7
10294         175, 10, 10                 45(9), 122(25), 201(41)             2, 6, 7
