hh_id      hh_name    hh_inCDA   hh_size    hh_village-id
10219      19-064-A-0 1          15         119        
10220      19-067-A-0 1          15         119        
10221      19-077-B-0 1          11         119        
10222      19-110-A-0 1          4          119        
10223      19-131-A-0 1          3          119        
10224      19-143-A-0 1          4          119        
10225      19-150-A-0 1          16         119        
10226      19-153-B-0 1          8          119        
10227      19-167-B-0 1          11         119        
10228      19-171-A-0 1          1          119        
10229      19-188-A-0 1          2          119        
10230      19-196-A-0 1          14         119        
10231      19-200-A-0 1          8          119        
10232      19-213-A-0 1          3          119        
10233      19-222-A-0 1          8          119        
10234      19-226-A-0 1          10         119        
10235      19-231-A-0 1          10         119        
10236      19-241-A-0 1          6          119        
10237      19-242-A-0 1          6          119        
10238      19-249-A-0 1          1          119        
10239      19-250-A-0 1          9          119        
10240      19-261-A-0 1          8          119        
10241      19-282-A-0 1          1          119        
10242      19-306-A-0 1          10         119        
10243      19-317-A-0 1          9          119        
10244      19-320-A-0 1          10         119        
10245      19-330-A-0 1          9          119        
10246      19-337-C-0 1          3          119        
10247      19-339-B-0 1          2          119        
10248      19-342-A-0 1          7          119        
10249      19-377-A-0 1          1          119        
10250      19-441-A-0 1          10         119        
10251      19-443-A-0 1          7          119        
10252      19-495-A-0 1          4          119        
10253      19-498-A-0 1          14         119        
10254      19-515-A-0 1          6          119        
10255      19-556-C-0 1          5          119        
10256      19-581-A-0 1          4          119        
10257      19-585-A-0 1          8          119        
10258      19-596-A-0 1          3          119        
10259      19-597-A-0 1          4          119        
10260      19-611-A-0 1          7          119        
10261      19-614-B-0 1          5          119        
10262      19-617-A-0 1          4          119        
10263      19-630-A-0 1          6          119        
10264      20-011-A-0 1          20         120        
10265      20-017-B-0 1          5          120        
10266      20-023-A-0 1          5          120        
10267      20-028-B-0 1          14         120        
10268      20-061-A-0 1          9          120        
10269      20-067-A-0 1          8          120        
10270      20-069-B-0 1          26         120        
10271      20-073-A-0 1          8          120        
10272      20-077-A-0 1          11         120        
10273      20-080-A-0 1          18         120        
10274      20-084-A-0 1          24         120        
10275      20-096-C-0 1          3          120        
10276      20-097-A-0 1          7          120        
10277      20-100-A-0 1          19         120        
10278      20-111-A-0 1          13         120        
10279      20-121-A-0 1          6          120        
10280      20-122-B-0 1          16         120        
10281      20-122-C-0 1          12         120        
10282      20-128-A-0 1          11         120        
10283      20-171-A-0 1          7          120        
10284      20-190-A-0 1          10         120        
10285      20-199-B-0 1          3          120        
10286      20-217-A-0 1          10         120        
10287      20-229-E-0 1          7          120        
10288      20-230-A-0 1          6          120        
10289      20-253-A-0 1          13         120        
10290      20-265-A-0 1          7          120        
10291      21-011-A-0 1          15         121        
10292      21-016-A-0 1          16         121        
10293      21-019-A-0 1          22         121        
10294      21-026-A-0 1          7          121        
10295      21-027-A-0 1          31         121        
10296      21-034-A-0 1          9          121        
10297      21-045-A-0 1          5          121        
10298      21-047-C-0 1          7          121        
10299      21-062-A-0 1          7          121        
10300      21-072-B-0 1          10         121        
10301      21-076-D-0 1          10         121        
